Sort,Year,Sport,Gender,Event,Athlete,Medal,City,Country,Team,Code,Birthdate
1,1924,Bobsleigh,M,4-Man Bobsled,Alfred Neveu,GOLD,Chamonix,France,Switzerland,CHE,
2,1924,Bobsleigh,M,4-Man Bobsled,Eduard Scherrer,GOLD,Chamonix,France,Switzerland,CHE,
3,1924,Bobsleigh,M,4-Man Bobsled,Alfred Schläppi,GOLD,Chamonix,France,Switzerland,CHE,
4,1924,Bobsleigh,M,4-Man Bobsled,Heinrich Schläppi,GOLD,Chamonix,France,Switzerland,CHE,
5,1924,Bobsleigh,M,4-Man Bobsled,Thomas Arnold,SILVER,Chamonix,France,Great Britain,GBR,
6,1924,Bobsleigh,M,4-Man Bobsled,Ralph Broome,SILVER,Chamonix,France,Great Britain,GBR,
7,1924,Bobsleigh,M,4-Man Bobsled,Alexander Richardson,SILVER,Chamonix,France,Great Britain,GBR,
8,1924,Bobsleigh,M,4-Man Bobsled,Rodney Soher,SILVER,Chamonix,France,Great Britain,GBR,
9,1924,Bobsleigh,M,4-Man Bobsled,René Mortiaux,BRONZE,Chamonix,France,Belgium,BEL,
10,1924,Bobsleigh,M,4-Man Bobsled,Charles Mulder,BRONZE,Chamonix,France,Belgium,BEL,
11,1924,Bobsleigh,M,4-Man Bobsled,Paul van den Broeck,BRONZE,Chamonix,France,Belgium,BEL,
12,1924,Bobsleigh,M,4-Man Bobsled,Victor Verschueren,BRONZE,Chamonix,France,Belgium,BEL,
13,1924,Bobsleigh,M,4-Man Bobsled,Henri Willems,BRONZE,Chamonix,France,Belgium,BEL,
14,1924,Cross-Country Skiing,M,18km,Thorleif Haug,GOLD,Chamonix,France,Norway,NOR,
15,1924,Cross-Country Skiing,M,18km,Johan Grøttumsbråten,SILVER,Chamonix,France,Norway,NOR,
16,1924,Cross-Country Skiing,M,18km,Tapani Niku,BRONZE,Chamonix,France,Finland,FIN,
17,1924,Cross-Country Skiing,M,50km,Thorleif Haug,GOLD,Chamonix,France,Norway,NOR,
18,1924,Cross-Country Skiing,M,50km,Thoralf Strømstad,SILVER,Chamonix,France,Norway,NOR,
19,1924,Cross-Country Skiing,M,50km,Johan Grøttumsbråten,BRONZE,Chamonix,France,Norway,NOR,
20,1924,Curling,M,Curling,Willie Jackson,GOLD,Chamonix,France,Great Britain,GBR,
21,1924,Curling,M,Curling,Robin Welsh,GOLD,Chamonix,France,Great Britain,GBR,
22,1924,Curling,M,Curling,Tom Murray,GOLD,Chamonix,France,Great Britain,GBR,
23,1924,Curling,M,Curling,Laurence Jackson,GOLD,Chamonix,France,Great Britain,GBR,
24,1924,Curling,M,Curling,Carl Wilhelm Petersen,SILVER,Chamonix,France,Sweden,SWE,
25,1924,Curling,M,Curling,Carl August Kronlund,SILVER,Chamonix,France,Sweden,SWE,
26,1924,Curling,M,Curling,Johan Petter Ahien,SILVER,Chamonix,France,Sweden,SWE,
27,1924,Curling,M,Curling,Ture Odlund,SILVER,Chamonix,France,Sweden,SWE,
28,1924,Curling,M,Curling,Carl Axel Pettersson,SILVER,Chamonix,France,Sweden,SWE,
29,1924,Curling,M,Curling,Erik Severin,SILVER,Chamonix,France,Sweden,SWE,
30,1924,Curling,M,Curling,Karl Wahlberg,SILVER,Chamonix,France,Sweden,SWE,
31,1924,Curling,M,Curling,Victor Wetterstrom,SILVER,Chamonix,France,Sweden,SWE,
32,1924,Curling,M,Curling,Henri Cournollet,BRONZE,Chamonix,France,France,FRA,
33,1924,Curling,M,Curling,Georges Andre,BRONZE,Chamonix,France,France,FRA,
34,1924,Curling,M,Curling,Armand Isaac-Benedic,BRONZE,Chamonix,France,France,FRA,
35,1924,Curling,M,Curling,Pierre Canivet,BRONZE,Chamonix,France,France,FRA,
36,1924,Figure Skating,M,Individual,Gillis Gråfström,GOLD,Chamonix,France,Sweden,SWE,
37,1924,Figure Skating,M,Individual,Willy Böckl,SILVER,Chamonix,France,Austria,AUT,
38,1924,Figure Skating,M,Individual,Georges Gautschi,BRONZE,Chamonix,France,Switzerland,CHE,
39,1924,Figure Skating,F,Individual,Herma Plank-Szabó,GOLD,Chamonix,France,Austria,AUT,
40,1924,Figure Skating,F,Individual,Beatrix Loughran,SILVER,Chamonix,France,United States,USA,
41,1924,Figure Skating,F,Individual,Ethel Muckelt,BRONZE,Chamonix,France,Great Britain,GBR,
42,1924,Figure Skating,M,Pairs,Alfred Berger,GOLD,Chamonix,France,Austria,AUT,
43,1924,Figure Skating,F,Pairs,Helene Engelmann,GOLD,Chamonix,France,Austria,AUT,
44,1924,Figure Skating,M,Pairs,Walter Jakobsson,SILVER,Chamonix,France,Finland,FIN,
45,1924,Figure Skating,F,Pairs,Ludowika Jakobsson,SILVER,Chamonix,France,Finland,FIN,
46,1924,Figure Skating,M,Pairs,Pierre Brunet,BRONZE,Chamonix,France,France,FRA,
47,1924,Figure Skating,F,Pairs,Andrée Brunet-Joly,BRONZE,Chamonix,France,France,FRA,
48,1924,Ice Hockey,M,Ice Hockey,Jack Cameron,GOLD,Chamonix,France,Canada,CAN,
49,1924,Ice Hockey,M,Ice Hockey,Ernie Collett,GOLD,Chamonix,France,Canada,CAN,
50,1924,Ice Hockey,M,Ice Hockey,Bert McCaffrey,GOLD,Chamonix,France,Canada,CAN,
51,1924,Ice Hockey,M,Ice Hockey,Harold McMunn,GOLD,Chamonix,France,Canada,CAN,
52,1924,Ice Hockey,M,Ice Hockey,Duncan Munro,GOLD,Chamonix,France,Canada,CAN,
53,1924,Ice Hockey,M,Ice Hockey,Beattie Ramsay,GOLD,Chamonix,France,Canada,CAN,
54,1924,Ice Hockey,M,Ice Hockey,Cyril Slater,GOLD,Chamonix,France,Canada,CAN,
55,1924,Ice Hockey,M,Ice Hockey,Reginald Smith,GOLD,Chamonix,France,Canada,CAN,
56,1924,Ice Hockey,M,Ice Hockey,Harry Watson,GOLD,Chamonix,France,Canada,CAN,
57,1924,Ice Hockey,M,Ice Hockey,John Lyons,SILVER,Chamonix,France,United States,USA,
58,1924,Ice Hockey,M,Ice Hockey,Justin McCarthy,SILVER,Chamonix,France,United States,USA,
59,1924,Ice Hockey,M,Ice Hockey,Willard Rice,SILVER,Chamonix,France,United States,USA,
60,1924,Ice Hockey,M,Ice Hockey,Irving Small,SILVER,Chamonix,France,United States,USA,
61,1924,Ice Hockey,M,Ice Hockey,Francis Synott,SILVER,Chamonix,France,United States,USA,
62,1924,Ice Hockey,M,Ice Hockey,Clarence Abel,SILVER,Chamonix,France,United States,USA,
63,1924,Ice Hockey,M,Ice Hockey,Herb Drury,SILVER,Chamonix,France,United States,USA,
64,1924,Ice Hockey,M,Ice Hockey,Alphonse Lacroix,SILVER,Chamonix,France,United States,USA,
65,1924,Ice Hockey,M,Ice Hockey,John Langley,SILVER,Chamonix,France,United States,USA,
66,1924,Ice Hockey,M,Ice Hockey,Edward Pitblado,BRONZE,Chamonix,France,Great Britain,GBR,
67,1924,Ice Hockey,M,Ice Hockey,Blane Sexton,BRONZE,Chamonix,France,Great Britain,GBR,
68,1924,Ice Hockey,M,Ice Hockey,William Anderson,BRONZE,Chamonix,France,Great Britain,GBR,
69,1924,Ice Hockey,M,Ice Hockey,Lorne Carr-Harris,BRONZE,Chamonix,France,Great Britain,GBR,
70,1924,Ice Hockey,M,Ice Hockey,Colin Carruthers,BRONZE,Chamonix,France,Great Britain,GBR,
71,1924,Ice Hockey,M,Ice Hockey,Eric Carruthers,BRONZE,Chamonix,France,Great Britain,GBR,
72,1924,Ice Hockey,M,Ice Hockey,Guy Clarkson,BRONZE,Chamonix,France,Great Britain,GBR,
73,1924,Ice Hockey,M,Ice Hockey,Ross Cuthbert,BRONZE,Chamonix,France,Great Britain,GBR,
74,1924,Ice Hockey,M,Ice Hockey,George Holmes,BRONZE,Chamonix,France,Great Britain,GBR,
75,1924,Ice Hockey,M,Ice Hockey,Hamilton Jukes,BRONZE,Chamonix,France,Great Britain,GBR,
76,1924,Military Ski Patrol,M,Military Ski Patrol,Alfred Aufdenblatten,GOLD,Chamonix,France,Switzerland,CHE,
77,1924,Military Ski Patrol,M,Military Ski Patrol,Alfons Julen,GOLD,Chamonix,France,Switzerland,CHE,
78,1924,Military Ski Patrol,M,Military Ski Patrol,Anton Julen,GOLD,Chamonix,France,Switzerland,CHE,
79,1924,Military Ski Patrol,M,Military Ski Patrol,Denis Vaucher,GOLD,Chamonix,France,Switzerland,CHE,
80,1924,Military Ski Patrol,M,Military Ski Patrol,August Eskelinen,SILVER,Chamonix,France,Finland,FIN,
81,1924,Military Ski Patrol,M,Military Ski Patrol,Heikki Hirvonen,SILVER,Chamonix,France,Finland,FIN,
82,1924,Military Ski Patrol,M,Military Ski Patrol,Ville Mattila,SILVER,Chamonix,France,Finland,FIN,
83,1924,Military Ski Patrol,M,Military Ski Patrol,Vaino Bremer,SILVER,Chamonix,France,Finland,FIN,
84,1924,Military Ski Patrol,M,Military Ski Patrol,Adrien Vandelle,BRONZE,Chamonix,France,France,FRA,
85,1924,Military Ski Patrol,M,Military Ski Patrol,Camille Mandrillon,BRONZE,Chamonix,France,France,FRA,
86,1924,Military Ski Patrol,M,Military Ski Patrol,Georges Berthet,BRONZE,Chamonix,France,France,FRA,
87,1924,Military Ski Patrol,M,Military Ski Patrol,Maurice Mandrillon,BRONZE,Chamonix,France,France,FRA,
88,1924,Nordic Combined,M,Individual (18km+Jump),Thorleif Haug,GOLD,Chamonix,France,Norway,NOR,
89,1924,Nordic Combined,M,Individual (18km+Jump),Thoralf Strømstad,SILVER,Chamonix,France,Norway,NOR,
90,1924,Nordic Combined,M,Individual (18km+Jump),Johan Grøttumsbråten,BRONZE,Chamonix,France,Norway,NOR,
91,1924,Ski Jumping,M,Normal Hill,Jacob Thams,GOLD,Chamonix,France,Norway,NOR,
92,1924,Ski Jumping,M,Normal Hill,Narve Bonna,SILVER,Chamonix,France,Norway,NOR,
93,1924,Ski Jumping,M,Normal Hill,Anders Haugen,BRONZE,Chamonix,France,United States,USA,
94,1924,Speed Skating,M,500m,Charles Jewtraw,GOLD,Chamonix,France,United States,USA,
95,1924,Speed Skating,M,500m,Oskar Olsen,SILVER,Chamonix,France,Norway,NOR,
96,1924,Speed Skating,M,500m,Roald Larsen,BRONZE,Chamonix,France,Norway,NOR,
97,1924,Speed Skating,M,500m,Clas Thunberg,BRONZE,Chamonix,France,Finland,FIN,
98,1924,Speed Skating,M,1500m,Clas Thunberg,GOLD,Chamonix,France,Finland,FIN,
99,1924,Speed Skating,M,1500m,Roald Larsen,SILVER,Chamonix,France,Norway,NOR,
100,1924,Speed Skating,M,1500m,Sigurd Moen,BRONZE,Chamonix,France,Norway,NOR,
101,1924,Speed Skating,M,5000m,Clas Thunberg,GOLD,Chamonix,France,Finland,FIN,
102,1924,Speed Skating,M,5000m,Julius Skutnabb,SILVER,Chamonix,France,Finland,FIN,
103,1924,Speed Skating,M,5000m,Roald Larsen,BRONZE,Chamonix,France,Norway,NOR,
104,1924,Speed Skating,M,10000m,Julius Skutnabb,GOLD,Chamonix,France,Finland,FIN,
105,1924,Speed Skating,M,10000m,Clas Thunberg,SILVER,Chamonix,France,Finland,FIN,
106,1924,Speed Skating,M,10000m,Roald Larsen,BRONZE,Chamonix,France,Norway,NOR,
107,1924,Speed Skating,M,Allaround,Clas Thunberg,GOLD,Chamonix,France,Finland,FIN,
108,1924,Speed Skating,M,Allaround,Roald Larsen,SILVER,Chamonix,France,Norway,NOR,
109,1924,Speed Skating,M,Allaround,Julius Skutnabb,BRONZE,Chamonix,France,Finland,FIN,
110,1928,Bobsleigh,M,5-Man Bobsled,Billy Fiske,GOLD,St. Moritz,Switzerland,United States,USA,
111,1928,Bobsleigh,M,5-Man Bobsled,Clifford Grey,GOLD,St. Moritz,Switzerland,United States,USA,
112,1928,Bobsleigh,M,5-Man Bobsled,Geoffrey Mason,GOLD,St. Moritz,Switzerland,United States,USA,
113,1928,Bobsleigh,M,5-Man Bobsled,Richard Parke,GOLD,St. Moritz,Switzerland,United States,USA,
114,1928,Bobsleigh,M,5-Man Bobsled,Nion Tucker,GOLD,St. Moritz,Switzerland,United States,USA,
115,1928,Bobsleigh,M,5-Man Bobsled,Jay O'Brien,SILVER,St. Moritz,Switzerland,United States,USA,
116,1928,Bobsleigh,M,5-Man Bobsled,Lyman Hine,SILVER,St. Moritz,Switzerland,United States,USA,
117,1928,Bobsleigh,M,5-Man Bobsled,Jennison Heaton,SILVER,St. Moritz,Switzerland,United States,USA,
118,1928,Bobsleigh,M,5-Man Bobsled,David Granger,SILVER,St. Moritz,Switzerland,United States,USA,
119,1928,Bobsleigh,M,5-Man Bobsled,Thomas Doe,SILVER,St. Moritz,Switzerland,United States,USA,
120,1928,Bobsleigh,M,5-Man Bobsled,Hans Heß,BRONZE,St. Moritz,Switzerland,Germany,DEU,
121,1928,Bobsleigh,M,5-Man Bobsled,Sebastian Huber,BRONZE,St. Moritz,Switzerland,Germany,DEU,
122,1928,Bobsleigh,M,5-Man Bobsled,Hanns Kilian,BRONZE,St. Moritz,Switzerland,Germany,DEU,
123,1928,Bobsleigh,M,5-Man Bobsled,Valentin Krempl,BRONZE,St. Moritz,Switzerland,Germany,DEU,
124,1928,Bobsleigh,M,5-Man Bobsled,Hans Nägle,BRONZE,St. Moritz,Switzerland,Germany,DEU,
125,1928,Cross-Country Skiing,M,18km,Johan Grøttumsbråten,GOLD,St. Moritz,Switzerland,Norway,NOR,
126,1928,Cross-Country Skiing,M,18km,Ole Hegge,SILVER,St. Moritz,Switzerland,Norway,NOR,
127,1928,Cross-Country Skiing,M,18km,Reidar Ødegaard,BRONZE,St. Moritz,Switzerland,Norway,NOR,
128,1928,Cross-Country Skiing,M,50km,Per Erik Hedlund,GOLD,St. Moritz,Switzerland,Sweden,SWE,
129,1928,Cross-Country Skiing,M,50km,Gustaf Jonsson,SILVER,St. Moritz,Switzerland,Sweden,SWE,
130,1928,Cross-Country Skiing,M,50km,Volger Andersson,BRONZE,St. Moritz,Switzerland,Sweden,SWE,
131,1928,Figure Skating,M,Individual,Gillis Gråfström,GOLD,St. Moritz,Switzerland,Sweden,SWE,
132,1928,Figure Skating,M,Individual,Willy Böckl,SILVER,St. Moritz,Switzerland,Austria,AUT,
133,1928,Figure Skating,M,Individual,Robert van Zeebroeck,BRONZE,St. Moritz,Switzerland,Belgium,BEL,
134,1928,Figure Skating,F,Individual,Sonja Henie,GOLD,St. Moritz,Switzerland,Norway,NOR,
135,1928,Figure Skating,F,Individual,Fritzi Burger,SILVER,St. Moritz,Switzerland,Austria,AUT,
136,1928,Figure Skating,F,Individual,Beatrix Loughran,BRONZE,St. Moritz,Switzerland,United States,USA,
137,1928,Figure Skating,M,Pairs,Pierre Brunet,GOLD,St. Moritz,Switzerland,France,FRA,
138,1928,Figure Skating,M,Pairs,Otto Kaiser,SILVER,St. Moritz,Switzerland,Austria,AUT,
139,1928,Figure Skating,M,Pairs,Ludwig Wrede,BRONZE,St. Moritz,Switzerland,Austria,AUT,
140,1928,Figure Skating,F,Pairs,Andrée Brunet-Joly,GOLD,St. Moritz,Switzerland,France,FRA,
141,1928,Figure Skating,F,Pairs,Lilly Scholz,SILVER,St. Moritz,Switzerland,Austria,AUT,
142,1928,Figure Skating,F,Pairs,Melitta Brunner,BRONZE,St. Moritz,Switzerland,Austria,AUT,
143,1928,Ice Hockey,M,Ice Hockey,Charlie Delahay,GOLD,St. Moritz,Switzerland,Canada,CAN,
144,1928,Ice Hockey,M,Ice Hockey,Frank Fisher,GOLD,St. Moritz,Switzerland,Canada,CAN,
145,1928,Ice Hockey,M,Ice Hockey,Louis Hudson,GOLD,St. Moritz,Switzerland,Canada,CAN,
146,1928,Ice Hockey,M,Ice Hockey,Norbert Mueller,GOLD,St. Moritz,Switzerland,Canada,CAN,
147,1928,Ice Hockey,M,Ice Hockey,Herbert Plaxton,GOLD,St. Moritz,Switzerland,Canada,CAN,
148,1928,Ice Hockey,M,Ice Hockey,Hugh Plaxton,GOLD,St. Moritz,Switzerland,Canada,CAN,
149,1928,Ice Hockey,M,Ice Hockey,Rod Plaxton,GOLD,St. Moritz,Switzerland,Canada,CAN,
150,1928,Ice Hockey,M,Ice Hockey,John Porter,GOLD,St. Moritz,Switzerland,Canada,CAN,
151,1928,Ice Hockey,M,Ice Hockey,Frank Sullivan,GOLD,St. Moritz,Switzerland,Canada,CAN,
152,1928,Ice Hockey,M,Ice Hockey,Joseph Sullivan,GOLD,St. Moritz,Switzerland,Canada,CAN,
153,1928,Ice Hockey,M,Ice Hockey,Ross Taylor,GOLD,St. Moritz,Switzerland,Canada,CAN,
154,1928,Ice Hockey,M,Ice Hockey,Dave Trottier,GOLD,St. Moritz,Switzerland,Canada,CAN,
155,1928,Ice Hockey,M,Ice Hockey,Carl Abrahamsson,SILVER,St. Moritz,Switzerland,Sweden,SWE,
156,1928,Ice Hockey,M,Ice Hockey,Birger Holmquist,SILVER,St. Moritz,Switzerland,Sweden,SWE,
157,1928,Ice Hockey,M,Ice Hockey,Gustaf Johansson,SILVER,St. Moritz,Switzerland,Sweden,SWE,
158,1928,Ice Hockey,M,Ice Hockey,Henry Johansson,SILVER,St. Moritz,Switzerland,Sweden,SWE,
159,1928,Ice Hockey,M,Ice Hockey,Nils Johansson,SILVER,St. Moritz,Switzerland,Sweden,SWE,
160,1928,Ice Hockey,M,Ice Hockey,Ernst Karlberg,SILVER,St. Moritz,Switzerland,Sweden,SWE,
161,1928,Ice Hockey,M,Ice Hockey,Erik Larsson,SILVER,St. Moritz,Switzerland,Sweden,SWE,
162,1928,Ice Hockey,M,Ice Hockey,Bertil Linde,SILVER,St. Moritz,Switzerland,Sweden,SWE,
163,1928,Ice Hockey,M,Ice Hockey,Sigfrid Öberg,SILVER,St. Moritz,Switzerland,Sweden,SWE,
164,1928,Ice Hockey,M,Ice Hockey,Wilhelm Petersén,SILVER,St. Moritz,Switzerland,Sweden,SWE,
165,1928,Ice Hockey,M,Ice Hockey,Kurt Sucksdorff,SILVER,St. Moritz,Switzerland,Sweden,SWE,
166,1928,Ice Hockey,M,Ice Hockey,Emil Bergman,SILVER,St. Moritz,Switzerland,Sweden,SWE,
167,1928,Ice Hockey,M,Ice Hockey,Giannin Andreossi,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
168,1928,Ice Hockey,M,Ice Hockey,Mezzi Andreossi,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
169,1928,Ice Hockey,M,Ice Hockey,Robert Breiter,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
170,1928,Ice Hockey,M,Ice Hockey,Louis Dufour,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
171,1928,Ice Hockey,M,Ice Hockey,Charles Fasel,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
172,1928,Ice Hockey,M,Ice Hockey,Albert Geromini,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
173,1928,Ice Hockey,M,Ice Hockey,Fritz Kraatz,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
174,1928,Ice Hockey,M,Ice Hockey,Arnold Martignoni,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
175,1928,Ice Hockey,M,Ice Hockey,Heini Meng,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
176,1928,Ice Hockey,M,Ice Hockey,Anton Morosani,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
177,1928,Ice Hockey,M,Ice Hockey,Luzius Rüedi,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
178,1928,Ice Hockey,M,Ice Hockey,Riccardo Torriani,BRONZE,St. Moritz,Switzerland,Switzerland,CHE,
179,1928,Nordic Combined,M,Individual (18km+Jump),Johan Grøttumsbråten,GOLD,St. Moritz,Switzerland,Norway,NOR,
180,1928,Nordic Combined,M,Individual (18km+Jump),Hans Vinjarengen,SILVER,St. Moritz,Switzerland,Norway,NOR,
181,1928,Nordic Combined,M,Individual (18km+Jump),John Snersrud,BRONZE,St. Moritz,Switzerland,Norway,NOR,
182,1928,Skeleton,M,Individual,Jennison Heaton,GOLD,St. Moritz,Switzerland,United States,USA,
183,1928,Skeleton,M,Individual,John Heaton,SILVER,St. Moritz,Switzerland,United States,USA,
184,1928,Skeleton,M,Individual,David Northesk,BRONZE,St. Moritz,Switzerland,Great Britain,GBR,
185,1928,Ski Jumping,M,Normal Hill,Alf Andersen,GOLD,St. Moritz,Switzerland,Norway,NOR,
186,1928,Ski Jumping,M,Normal Hill,Sigmund Ruud,SILVER,St. Moritz,Switzerland,Norway,NOR,
187,1928,Ski Jumping,M,Normal Hill,Rudolf Burkert,BRONZE,St. Moritz,Switzerland,Czechoslovakia,CZE,
188,1928,Speed Skating,M,500m,Bæla Evensen,GOLD,St. Moritz,Switzerland,Norway,NOR,
189,1928,Speed Skating,M,500m,Clas Thunberg,GOLD,St. Moritz,Switzerland,Finland,FIN,
190,1928,Speed Skating,M,500m,Roald Larsen,BRONZE,St. Moritz,Switzerland,Norway,NOR,
191,1928,Speed Skating,M,500m,John Farrell,BRONZE,St. Moritz,Switzerland,United States,USA,
192,1928,Speed Skating,M,500m,Jaako Friman,BRONZE,St. Moritz,Switzerland,Finland,FIN,
193,1928,Speed Skating,M,1500m,Clas Thunberg,GOLD,St. Moritz,Switzerland,Finland,FIN,
194,1928,Speed Skating,M,1500m,Bæla Evensen,SILVER,St. Moritz,Switzerland,Norway,NOR,
195,1928,Speed Skating,M,1500m,Ivar Ballangrud,BRONZE,St. Moritz,Switzerland,Norway,NOR,
196,1928,Speed Skating,M,5000m,Ivar Ballangrud,GOLD,St. Moritz,Switzerland,Norway,NOR,
197,1928,Speed Skating,M,5000m,Julius Skutnabb,SILVER,St. Moritz,Switzerland,Finland,FIN,
198,1928,Speed Skating,M,5000m,Bæla Evensen,BRONZE,St. Moritz,Switzerland,Norway,NOR,
199,1932,Bobsleigh,M,2-Man Bobsled,Curtis Stevens,GOLD,Lake Placid,United States,United States,USA,
200,1932,Bobsleigh,M,2-Man Bobsled,Hubert Stevens,GOLD,Lake Placid,United States,United States,USA,
201,1932,Bobsleigh,M,2-Man Bobsled,Reto Capadrutt,SILVER,Lake Placid,United States,Switzerland,CHE,
202,1932,Bobsleigh,M,2-Man Bobsled,Oscar Geier,SILVER,Lake Placid,United States,Switzerland,CHE,
203,1932,Bobsleigh,M,2-Man Bobsled,Robert Minton,BRONZE,Lake Placid,United States,United States,USA,
204,1932,Bobsleigh,M,2-Man Bobsled,John Heaton,BRONZE,Lake Placid,United States,United States,USA,
205,1932,Bobsleigh,M,4-Man Bobsled,Billy Fiske,GOLD,Lake Placid,United States,United States,USA,
206,1932,Bobsleigh,M,4-Man Bobsled,Eddie Eagan,GOLD,Lake Placid,United States,United States,USA,
207,1932,Bobsleigh,M,4-Man Bobsled,Clifford Grey,GOLD,Lake Placid,United States,United States,USA,
208,1932,Bobsleigh,M,4-Man Bobsled,Jay O'Brien,GOLD,Lake Placid,United States,United States,USA,
209,1932,Bobsleigh,M,4-Man Bobsled,Paul Stevens,SILVER,Lake Placid,United States,United States,USA,
210,1932,Bobsleigh,M,4-Man Bobsled,Henry Homburger,SILVER,Lake Placid,United States,United States,USA,
211,1932,Bobsleigh,M,4-Man Bobsled,Edmund Horton,SILVER,Lake Placid,United States,United States,USA,
212,1932,Bobsleigh,M,4-Man Bobsled,Percy Bryant,SILVER,Lake Placid,United States,United States,USA,
213,1932,Bobsleigh,M,4-Man Bobsled,Sebastian Huber,BRONZE,Lake Placid,United States,Germany,DEU,
214,1932,Bobsleigh,M,4-Man Bobsled,Max Ludwig,BRONZE,Lake Placid,United States,Germany,DEU,
215,1932,Bobsleigh,M,4-Man Bobsled,Hans Mehlhorn,BRONZE,Lake Placid,United States,Germany,DEU,
216,1932,Bobsleigh,M,4-Man Bobsled,Hanns Kilian,BRONZE,Lake Placid,United States,Germany,DEU,
217,1932,Cross-Country Skiing,M,18km,Sven Utterström,GOLD,Lake Placid,United States,Sweden,SWE,
218,1932,Cross-Country Skiing,M,18km,Axel Wikström,SILVER,Lake Placid,United States,Sweden,SWE,
219,1932,Cross-Country Skiing,M,18km,Veli Saarinen,BRONZE,Lake Placid,United States,Finland,FIN,
220,1932,Cross-Country Skiing,M,50km,Veli Saarinen,GOLD,Lake Placid,United States,Finland,FIN,
221,1932,Cross-Country Skiing,M,50km,Väinö Liikkanen,SILVER,Lake Placid,United States,Finland,FIN,
222,1932,Cross-Country Skiing,M,50km,Arne Rustadstuen,BRONZE,Lake Placid,United States,Norway,NOR,
223,1932,Figure Skating,M,Individual,Karl Schäfer,GOLD,Lake Placid,United States,Austria,AUT,
224,1932,Figure Skating,M,Individual,Gillis Gråfström,SILVER,Lake Placid,United States,Sweden,SWE,
225,1932,Figure Skating,M,Individual,Montgomery Wilson,BRONZE,Lake Placid,United States,Canada,CAN,
226,1932,Figure Skating,F,Individual,Sonja Henie,GOLD,Lake Placid,United States,Norway,NOR,
227,1932,Figure Skating,F,Individual,Fritzi Burger,SILVER,Lake Placid,United States,Austria,AUT,
228,1932,Figure Skating,F,Individual,Maribel Vinson,BRONZE,Lake Placid,United States,United States,USA,
229,1932,Figure Skating,M,Pairs,Pierre Brunet,GOLD,Lake Placid,United States,France,FRA,
230,1932,Figure Skating,F,Pairs,Andrée Brunet-Joly,GOLD,Lake Placid,United States,France,FRA,
231,1932,Figure Skating,M,Pairs,Sherwin Badger,SILVER,Lake Placid,United States,United States,USA,
232,1932,Figure Skating,F,Pairs,Beatrix Loughran,SILVER,Lake Placid,United States,United States,USA,
233,1932,Figure Skating,M,Pairs,László Szollàs,BRONZE,Lake Placid,United States,Hungary,HUN,
234,1932,Figure Skating,F,Pairs,Emília Rotter,BRONZE,Lake Placid,United States,Hungary,HUN,
235,1932,Ice Hockey,M,Ice Hockey,Aliston Wise,GOLD,Lake Placid,United States,Canada,CAN,
236,1932,Ice Hockey,M,Ice Hockey,Victor Lindquist,GOLD,Lake Placid,United States,Canada,CAN,
237,1932,Ice Hockey,M,Ice Hockey,Hugh Sutherland,GOLD,Lake Placid,United States,Canada,CAN,
238,1932,Ice Hockey,M,Ice Hockey,Stanley Wagner,GOLD,Lake Placid,United States,Canada,CAN,
239,1932,Ice Hockey,M,Ice Hockey,William Cockburn,GOLD,Lake Placid,United States,Canada,CAN,
240,1932,Ice Hockey,M,Ice Hockey,Cliff Crowley,GOLD,Lake Placid,United States,Canada,CAN,
241,1932,Ice Hockey,M,Ice Hockey,Albert Duncanson,GOLD,Lake Placid,United States,Canada,CAN,
242,1932,Ice Hockey,M,Ice Hockey,George Garbutt,GOLD,Lake Placid,United States,Canada,CAN,
243,1932,Ice Hockey,M,Ice Hockey,Roy Hinkel,GOLD,Lake Placid,United States,Canada,CAN,
244,1932,Ice Hockey,M,Ice Hockey,Norman Malloy,GOLD,Lake Placid,United States,Canada,CAN,
245,1932,Ice Hockey,M,Ice Hockey,Wally Monson,GOLD,Lake Placid,United States,Canada,CAN,
246,1932,Ice Hockey,M,Ice Hockey,Kenneth Moore,GOLD,Lake Placid,United States,Canada,CAN,
247,1932,Ice Hockey,M,Ice Hockey,Romeo Rivers,GOLD,Lake Placid,United States,Canada,CAN,
248,1932,Ice Hockey,M,Ice Hockey,Joe Simpson,GOLD,Lake Placid,United States,Canada,CAN,
249,1932,Ice Hockey,M,Ice Hockey,John Bent,SILVER,Lake Placid,United States,United States,USA,
250,1932,Ice Hockey,M,Ice Hockey,John Chase,SILVER,Lake Placid,United States,United States,USA,
251,1932,Ice Hockey,M,Ice Hockey,John Cookman,SILVER,Lake Placid,United States,United States,USA,
252,1932,Ice Hockey,M,Ice Hockey,Joseph Fitzgerald,SILVER,Lake Placid,United States,United States,USA,
