Country Code,ABW,AFG,AGO,ALB,AND,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAR,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTE,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
2000,,,,,,,,,,,,10.08789,,,,10.15821,,,,,,,,,,,,0.97000003,,,,,,6.5891299,,,,1.91,,,,,,1.95,,,,,,,,,2.3300099,,,,,,,,,,,,,,,,4.5956101,4.5956101,,,,,,9.1735296,,,,6.2776299,,,,,,,,5.0839,,,,,,,,,,,,1.9561,,,,,,,,,,7.43466,,,,4.7428699,,,,6.0377598,,,,,,,2.44472,,,,,,,,,,,,,,,,,2.11852,9.6102505,0.98548001,,,,,,,,,0.84982002,,,,,,,,,,,,,,,,,,,,,,9.47997,,,,6.4641399,,,,,,,,,,2.9593401,,,,3.7022099,,,,,,,,0.14752001,,,,,,,,,,,,,,,,,,,1.35838,4.51296,,,,,,,,,,,,,,,,,,,,,,3.07108,,,,,,,7.08849,,,,,,,,,,,,,,
2002,,,,,,,,,,,,10.09419,,,,10.26565,,,,,,,,,,,,1.11,,,,,,6.4450898,,,,2.03,,,,,,2.02,,,,,,,,,3.12519,,,,,,,,,,,,,,,,4.4807,4.4807,,,,,,9.4731598,,,,6.9689498,,,,,,,,5.1652899,,,,,,,,,,,,3.3401,,,,,,,,,,7.35954,,,,4.9551201,,,,6.21209,,,,,,,2.92255,,,,,,,,,,,,,,,,,2.08408,9.9195805,1.12849,,,,,,,,,0.86074001,,,,,,,,,,,,,,,,,,,,,,9.75459,,,,6.5380001,,,,,,,,,,3.1019399,,,,3.7443399,,,,,,,,0.31781,,,,,,,,,,,,,,,,,,,1.68372,4.90418,,,,,,,,,,,,,,,,,,,,,,2.8382699,,,,,,,6.7860298,,,,,,,,,,,,,,
2004,,,,,,,,,,,,10.40642,,,,10.16228,,,,,,,,,,,,1.1799999,,,,,,6.3647699,,,,2.1199999,,,,,,2.0599999,,,,,,,,,3.5480599,,,,,,,,,,,,,,,,4.5395098,4.5395098,,,,,,9.9586096,,,,7.5385599,,,,,,,,5.3562002,,,,,,,,,,,,3.16874,,,,,,,,,,7.9676399,,,,5.0440302,,,,6.2403402,,,,,,,3.3089399,,,,,,,,,,,,,,,,,2.35552,10.27695,1.44232,,,,,,,,,0.85683,,,,,,,,,,,,,,,,,,,,,,9.7891798,,,,7.0251098,,,,,,,,,,3.23105,,,,3.7228601,,,,,,,,0.37823001,,,,,,,,,,,,,,,,,,,2.1726699,5.2314401,,,,,,,,,,,,,,,,,,,,,,3.9412701,,,,,,,6.4623899,,,,,,,,,,,,,,
2006,,,,,,,,,,,,10.33073,,,,10.08859,,,,,,,,,,,,1.41,,,,,,6.5623498,,,,2.22,,,,,,2.1400001,,,,,,,,,3.98087,,,,,,,,,,,,,,,,4.82443,4.82443,,,,,,10.60213,,,,8.0679398,,,,,,,,5.6187301,,,,,,,,,,,,3.47191,,,,,,,,,,8.2367496,,,,5.1220398,,,,6.2894802,,,,,,,3.72668,,,,,,,,,,,,,,,,,2.6913099,10.4254,1.54211,,,,,,,,,0.86403,,,,,,,,,,,,,,,,,,,,,,9.6256704,,,,7.4874201,,,,,,,,,,3.40605,,,,3.72628,,,,,,,,0.56110001,,,,,,,,,,,,,,,,,,,2.48699,5.40484,,,,,,,,,,,,,,,,,,,,,,4.0711999,,,,,,,6.0549998,,,,,,,,,,,,,,
2008,,,,,,,,,,,,10.48298,,,,10.26877,,,,,,,,,,,,1.5599999,,,,,,6.8955598,,,,2.25,,,,,,2.1500001,,,,,,,,,3.7727301,,,,,,,,,,,,,,,,5.0025601,5.0025601,,,,,,10.73437,,,,8.2645102,,,,,,,,5.8677101,,,,,,,,,,,,3.34849,,,,,,,,,,8.5324097,,,,5.2590599,,,,6.4016399,,,,,,,4.2227201,,,,,,,,,,,,,,,,,3.1979001,10.47679,2.5914099,,,,,,,,,0.85422999,,,,,,,,,,,,,,,,,,,,,,9.7287598,,,,8.2425404,,,,,,,,,,3.9972301,,,,3.91366,,,,,,,,0.94318002,,,,,,,,,,,,,,,,,,,2.83991,5.46592,,,,,,,,,,,,,,,,,,,,,,3.98018,,,,,,,6.78127,,,,,,,,,,,,,,
2010,,,,,,,,,,,,10.5709,,,,10.45718,,,,,,,,,,,,1.8,,,,,,7.56392,,,,2.4000001,,,,,,2.2,,,,,,,,,3.68027,,,,,,,,,,,,,,,,5.2018299,5.2018299,,,,,,10.84541,,,,8.1948795,,,,,,,,5.9566798,,,,,,,,,,,,3.26421,,,,,,,,,,9.01723,,,,5.0486002,,,,6.7848001,,,,,,,4.3521299,,,,,,,,,,,,,,,,,3.0217099,10.85661,2.84007,,,,,,,,,0.85439998,,,,,,,,,,,,,,,,,,,,,,9.9588604,,,,8.4780598,,,,,,,,,,4.3909898,,,,4.3397198,,,,,,,,1.4884501,,,,,,,,,,,,,,,,,,,3.24981,6.6297698,,,,,,,,,,,,,,,,,,,,,,4.12111,,,,,,,7.8804402,,,,,,,,,,,,,,
2012,,,,,,,,,,,,10.79636,,,,10.35381,,,,,,,,,,,,1.9,,,,,,7.7279801,,,,2.5,,,,,,2.3,,,,,,,,,3.4954901,,,,,,,,,,,,,,,,4.9840798,4.9840798,,,,,,10.97143,,,,7.99751,,,,,,,,4.6532202,,,,,,,,,,,,3.76091,,,,,,,,,,8.6442003,,,,5.1690502,,,,7.0224299,,,,,,,4.5623398,,,,,,,,,,,,,,,,,2.8903201,10.8803,2.97241,,,,,,,,,0.86153001,,,,,,,,,,,,,,,,,,,,,,9.7642403,,,,8.5028,,,,,,,,,,4.6327901,,,,4.1595602,,,,,,,,1.39108,,,,,,,,,,,,,,,,,,,3.4556799,6.8085499,,,,,,,,,,,,,,,,,,,,,,4.3599601,,,,,,,7.4843998,,,,,,,,,,,,,,
2014,,,,,,,,,,,,10.85724,,,,10.40871,,,,,,,,,,,,2,,,,,,7.8290801,,,,2.8,,,,,,2.4000001,,,3.4000001,,,,,,3.6129799,,,,,,,,,,,,,,,,4.9514298,4.9514298,,,,,,11.07828,,,,7.99856,,,,,,,,4.6024699,,,,,,,,,,,,4.04387,,,,,,,,,,8.5840702,,,,5.2494602,,,,7.06777,,,,,,,5.0587502,,,,,,,,,,,,,,,,,3.1156001,11.27708,3.2715399,,,,,,,,,0.86426997,,,,,,,,,,,,,,,,,,,,,,9.6868496,,,,8.7275696,,,,,,,,,,5.1350002,,,,4.20263,,,,,,,,1.4557101,,,,,,,,,,,,,,,,,,,3.4556799,6.9014101,,,,,,,,,,,,,,,,,,,,,,4.4970298,,,,,,,7.2586002,,,,,,,,,,,,,,
2016,,,,,,,,,,,,11.12024,,,,10.15025,,,,,,,,,,,,2,,,,,,8.0732603,,,,3,,,,,,2.4000001,,,3.7,,,,,,4.1500502,10.25482,,,,,,,,,,,,,,,5.0620198,5.0620198,,,,,,11.21624,,,,8.4431896,,,,,,,,4.7227802,,,,,,,,,,,,4.3919802,,,,,,,,,,9.1070995,,,,5.8510098,,,,7.3519802,,,,,,,5.7579398,,,,,,,,,,,,,,,,,3.9240899,11.00003,3.7539301,,,,,,,,,0.91136998,,,,,,,,,,,,,,,,,,,,,,9.8594904,,,,9.3042297,,,,,,,,,,5.74264,,,,4.4963198,,,,,,,,1.31472,,,,,,,,,,,,,,,,,,,3.4556799,6.9620299,,,,,,,,,,,,,,,,,,,,,,5.7892699,,,,,,,7.1596699,,,,,,,,,,,,,,
