Index,Year,Sport,Gender,Event,Athlete,Medal,City,Country,Team,Code,Birthdate
1,1896,Athletics,M,100m,Tom Burke,GOLD,Athens,Greece,United States,USA,
2,1896,Athletics,M,100m,Fritz Hofmann,SILVER,Athens,Greece,Germany,DEU,
3,1896,Athletics,M,100m,Francis Lane,BRONZE,Athens,Greece,United States,USA,
4,1896,Athletics,M,100m,Alajos Szokolyi,BRONZE,Athens,Greece,Hungary,HUN,
5,1896,Athletics,M,400m,Tom Burke,GOLD,Athens,Greece,United States,USA,
6,1896,Athletics,M,400m,Herbert Jamison,SILVER,Athens,Greece,United States,USA,
7,1896,Athletics,M,400m,Charles Gmelin,BRONZE,Athens,Greece,Great Britain,GBR,
8,1896,Athletics,M,800m,Teddy Flack,GOLD,Athens,Greece,Austria,AUT,
9,1896,Athletics,M,800m,Nándor Dáni,SILVER,Athens,Greece,Hungary,HUN,
10,1896,Athletics,M,800m,Demitrios Golemis,BRONZE,Athens,Greece,Greece,GRC,
11,1896,Athletics,M,1500m,Teddy Flack,GOLD,Athens,Greece,Austria,AUT,
12,1896,Athletics,M,1500m,Arthur Blake,SILVER,Athens,Greece,United States,USA,
13,1896,Athletics,M,1500m,Albin Lermusiaux,BRONZE,Athens,Greece,Germany,DEU,
14,1896,Athletics,M,Marathon,Spiridon Louis,GOLD,Athens,Greece,Greece,GRC,
15,1896,Athletics,M,Marathon,Charilaos Vasilakos,SILVER,Athens,Greece,Greece,GRC,
16,1896,Athletics,M,Marathon,Gyula Kellner,BRONZE,Athens,Greece,Hungary,HUN,
17,1896,Athletics,M,110m Hurdles,Tom Curtis,GOLD,Athens,Greece,United States,USA,
18,1896,Athletics,M,110m Hurdles,Grantley Goulding,SILVER,Athens,Greece,Great Britain,GBR,
19,1896,Athletics,M,High Jump,Ellery Clark,GOLD,Athens,Greece,United States,USA,
20,1896,Athletics,M,High Jump,Bob Garrett,SILVER,Athens,Greece,United States,USA,
21,1896,Athletics,M,High Jump,James Connolly,SILVER,Athens,Greece,United States,USA,
22,1896,Athletics,M,Long Jump,Ellery Clark,GOLD,Athens,Greece,United States,USA,
23,1896,Athletics,M,Long Jump,Bob Garrett,SILVER,Athens,Greece,United States,USA,
24,1896,Athletics,M,Long Jump,James Connolly,BRONZE,Athens,Greece,United States,USA,
25,1896,Athletics,M,Pole Vault,Bill Hoyt,GOLD,Athens,Greece,United States,USA,
26,1896,Athletics,M,Pole Vault,Albert Tyler,SILVER,Athens,Greece,United States,USA,
27,1896,Athletics,M,Pole Vault,Ioannis Theodoropoulos,BRONZE,Athens,Greece,Greece,GRC,
28,1896,Athletics,M,Pole Vault,Evangelos Damaskos,BRONZE,Athens,Greece,Greece,GRC,
29,1896,Athletics,M,Triple Jump,James Connolly,GOLD,Athens,Greece,United States,USA,
30,1896,Athletics,M,Triple Jump,Alexandre Tuffère,SILVER,Athens,Greece,Germany,DEU,
31,1896,Athletics,M,Triple Jump,Ioannis Persakis,BRONZE,Athens,Greece,Greece,GRC,
32,1896,Athletics,M,Discus Throw,Bob Garrett,GOLD,Athens,Greece,United States,USA,
33,1896,Athletics,M,Discus Throw,Panayiotis Paraskevopoulos,SILVER,Athens,Greece,Greece,GRC,
34,1896,Athletics,M,Discus Throw,Sotiris Versis,BRONZE,Athens,Greece,Greece,GRC,
35,1896,Athletics,M,Shot Put,Bob Garrett,GOLD,Athens,Greece,United States,USA,
36,1896,Athletics,M,Shot Put,Miltiades Gouskos,SILVER,Athens,Greece,Greece,GRC,
37,1896,Athletics,M,Shot Put,Georgios Papasideris,BRONZE,Athens,Greece,Greece,GRC,
38,1896,Cycling,M,Individual Road Race,Aristides Konstantinides,GOLD,Athens,Greece,Greece,GRC,
39,1896,Cycling,M,Individual Road Race,August Goedrich,SILVER,Athens,Greece,Germany,DEU,
40,1896,Cycling,M,Individual Road Race,Edward Battell,BRONZE,Athens,Greece,Great Britain,GBR,
41,1896,Cycling,M,Individual Sprint,Paul Masson,GOLD,Athens,Greece,Germany,DEU,
42,1896,Cycling,M,Individual Sprint,Stamatios Nikolopoulos,SILVER,Athens,Greece,Greece,GRC,
43,1896,Cycling,M,Individual Sprint,Léon Flameng,BRONZE,Athens,Greece,Germany,DEU,
44,1896,Cycling,M,One-Lap Race,Paul Masson,GOLD,Athens,Greece,Germany,DEU,
45,1896,Cycling,M,One-Lap Race,Stamatios Nikolopoulos,SILVER,Athens,Greece,Greece,GRC,
46,1896,Cycling,M,One-Lap Race,Adolf Schmal,BRONZE,Athens,Greece,Austria,AUT,
47,1896,Cycling,M,10km Track Race,Paul Masson,GOLD,Athens,Greece,Germany,DEU,
48,1896,Cycling,M,10km Track Race,Léon Flameng,SILVER,Athens,Greece,Germany,DEU,
49,1896,Cycling,M,10km Track Race,Adolf Schmal,BRONZE,Athens,Greece,Austria,AUT,
50,1896,Cycling,M,100km Track Race,Léon Flameng,GOLD,Athens,Greece,Germany,DEU,
51,1896,Cycling,M,100km Track Race,Georgios Kolettis,SILVER,Athens,Greece,Greece,GRC,
52,1896,Cycling,M,12-Hour Race,Adolf Schmal,GOLD,Athens,Greece,Austria,AUT,
53,1896,Cycling,M,12-Hour Race,Frank Keeping,SILVER,Athens,Greece,Great Britain,GBR,
54,1896,Fencing,M,Foil Individual,Eugène-Henri Gravelotte,GOLD,Athens,Greece,Germany,DEU,
55,1896,Fencing,M,Foil Individual,Henri Callot,SILVER,Athens,Greece,Germany,DEU,
56,1896,Fencing,M,Foil Individual,Perikles Pierrakos-Mavromikhalis,BRONZE,Athens,Greece,Greece,GRC,
57,1896,Fencing,M,Foil Masters,Leon Pyrgos,GOLD,Athens,Greece,Greece,GRC,
58,1896,Fencing,M,Foil Masters,Jean Perronnet,SILVER,Athens,Greece,Germany,DEU,
59,1896,Fencing,M,Sabre Individual,Ioannis Georgiadis,GOLD,Athens,Greece,Greece,GRC,
60,1896,Fencing,M,Sabre Individual,Telemachos Karakalos,SILVER,Athens,Greece,Greece,GRC,
61,1896,Fencing,M,Sabre Individual,Holger Nielsen,BRONZE,Athens,Greece,Denmark,DNK,
62,1896,Gymnastics,M,Horizontal Bar,Hermann Weingärtner,GOLD,Athens,Greece,Germany,DEU,
63,1896,Gymnastics,M,Horizontal Bar,Alfred Flatow,SILVER,Athens,Greece,Germany,DEU,
64,1896,Gymnastics,M,Horizontal Bar Team,Richard Röstel,GOLD,Athens,Greece,Germany,DEU,
65,1896,Gymnastics,M,Horizontal Bar Team,Karl Neukirch,GOLD,Athens,Greece,Germany,DEU,
66,1896,Gymnastics,M,Horizontal Bar Team,Carl Schuhmann,GOLD,Athens,Greece,Germany,DEU,
67,1896,Gymnastics,M,Horizontal Bar Team,Gustav Schuft,GOLD,Athens,Greece,Germany,DEU,
68,1896,Gymnastics,M,Horizontal Bar Team,Hermann Weingärtner,GOLD,Athens,Greece,Germany,DEU,
69,1896,Gymnastics,M,Horizontal Bar Team,Gustav Flatow,GOLD,Athens,Greece,Germany,DEU,
70,1896,Gymnastics,M,Horizontal Bar Team,Conrad Böcker,GOLD,Athens,Greece,Germany,DEU,
71,1896,Gymnastics,M,Horizontal Bar Team,Alfred Flatow,GOLD,Athens,Greece,Germany,DEU,
72,1896,Gymnastics,M,Horizontal Bar Team,Fritz Manteuffel,GOLD,Athens,Greece,Germany,DEU,
73,1896,Gymnastics,M,Horizontal Bar Team,Georg Hilmar,GOLD,Athens,Greece,Germany,DEU,
74,1896,Gymnastics,M,Horizontal Bar Team,Fritz Hofmann,GOLD,Athens,Greece,Germany,DEU,
75,1896,Gymnastics,M,Horse Vault,Carl Schuhmann,GOLD,Athens,Greece,Germany,DEU,
76,1896,Gymnastics,M,Horse Vault,Louis Zutter,SILVER,Athens,Greece,Switzerland,CHE,
77,1896,Gymnastics,M,Horse Vault,Hermann Weingärtner,BRONZE,Athens,Greece,Germany,DEU,
78,1896,Gymnastics,M,Parallel Bars,Alfred Flatow,GOLD,Athens,Greece,Germany,DEU,
79,1896,Gymnastics,M,Parallel Bars,Louis Zutter,SILVER,Athens,Greece,Switzerland,CHE,
80,1896,Gymnastics,M,Parallel Bars Team,Fritz Hofmann,GOLD,Athens,Greece,Germany,DEU,
81,1896,Gymnastics,M,Parallel Bars Team,Georg Hilmar,GOLD,Athens,Greece,Germany,DEU,
82,1896,Gymnastics,M,Parallel Bars Team,Fritz Manteuffel,GOLD,Athens,Greece,Germany,DEU,
83,1896,Gymnastics,M,Parallel Bars Team,Alfred Flatow,GOLD,Athens,Greece,Germany,DEU,
84,1896,Gymnastics,M,Parallel Bars Team,Conrad Böcker,GOLD,Athens,Greece,Germany,DEU,
85,1896,Gymnastics,M,Parallel Bars Team,Gustav Flatow,GOLD,Athens,Greece,Germany,DEU,
86,1896,Gymnastics,M,Parallel Bars Team,Hermann Weingärtner,GOLD,Athens,Greece,Germany,DEU,
87,1896,Gymnastics,M,Parallel Bars Team,Gustav Schuft,GOLD,Athens,Greece,Germany,DEU,
88,1896,Gymnastics,M,Parallel Bars Team,Carl Schuhmann,GOLD,Athens,Greece,Germany,DEU,
89,1896,Gymnastics,M,Parallel Bars Team,Karl Neukirch,GOLD,Athens,Greece,Germany,DEU,
90,1896,Gymnastics,M,Parallel Bars Team,Richard Röstel,GOLD,Athens,Greece,Germany,DEU,
91,1896,Gymnastics,M,Parallel Bars Team,Thomas Xenakis,SILVER,Athens,Greece,Greece,GRC,
92,1896,Gymnastics,M,Parallel Bars Team,Petros Persakis,SILVER,Athens,Greece,Greece,GRC,
93,1896,Gymnastics,M,Parallel Bars Team,Nicolaos Andriakopoulos,SILVER,Athens,Greece,Greece,GRC,
94,1896,Gymnastics,M,Parallel Bars Team,Sotirios Athanasopoulos,SILVER,Athens,Greece,Greece,GRC,
95,1896,Gymnastics,M,Parallel Bars Team,Philippos Karvelas,BRONZE,Athens,Greece,Greece,GRC,
96,1896,Gymnastics,M,Parallel Bars Team,Ioannis Mitropoulos,BRONZE,Athens,Greece,Greece,GRC,
97,1896,Gymnastics,M,Parallel Bars Team,Ioannis Khrisaphos,BRONZE,Athens,Greece,Greece,GRC,
98,1896,Gymnastics,M,Parallel Bars Team,Dimitrios Loundras,BRONZE,Athens,Greece,Greece,GRC,
99,1896,Gymnastics,M,Pommelled Horse,Louis Zutter,GOLD,Athens,Greece,Switzerland,CHE,
100,1896,Gymnastics,M,Pommelled Horse,Hermann Weingärtner,SILVER,Athens,Greece,Germany,DEU,
101,1896,Gymnastics,M,Rings,Ioannis Mitropoulos,GOLD,Athens,Greece,Greece,GRC,
102,1896,Gymnastics,M,Rings,Hermann Weingärtner,SILVER,Athens,Greece,Germany,DEU,
103,1896,Gymnastics,M,Rings,Petros Persakis,BRONZE,Athens,Greece,Greece,GRC,
104,1896,Gymnastics,M,Rope climbing,Nicolaos Andriakopoulos,GOLD,Athens,Greece,Greece,GRC,
105,1896,Gymnastics,M,Rope climbing,Thomas Xenakis,SILVER,Athens,Greece,Greece,GRC,
106,1896,Gymnastics,M,Rope climbing,Fritz Hofmann,BRONZE,Athens,Greece,Germany,DEU,
107,1896,Shooting,M,25m Military Pistol,John Paine,GOLD,Athens,Greece,United States,USA,
108,1896,Shooting,M,25m Military Pistol,Sumner Paine,SILVER,Athens,Greece,United States,USA,
109,1896,Shooting,M,25m Military Pistol,Nikolaos Dorakis,BRONZE,Athens,Greece,Greece,GRC,
110,1896,Shooting,M,25m Muzzle-Loading Pistol,Ioannis Fragoudis,GOLD,Athens,Greece,Greece,GRC,
111,1896,Shooting,M,25m Muzzle-Loading Pistol,Georgios Orfanidis,SILVER,Athens,Greece,Greece,GRC,
112,1896,Shooting,M,25m Muzzle-Loading Pistol,Holger Nielsen,BRONZE,Athens,Greece,Denmark,DNK,
113,1896,Shooting,M,30m Free Pistol,Sumner Paine,GOLD,Athens,Greece,United States,USA,
114,1896,Shooting,M,30m Free Pistol,Holger Nielsen,SILVER,Athens,Greece,Denmark,DNK,
115,1896,Shooting,M,30m Free Pistol,Ioannis Fragoudis,BRONZE,Athens,Greece,Greece,GRC,
116,1896,Shooting,M,200m Military Rifle,Pantelis Karasevdas,GOLD,Athens,Greece,Greece,GRC,
117,1896,Shooting,M,200m Military Rifle,Pavlos Pavlidis,SILVER,Athens,Greece,Greece,GRC,
118,1896,Shooting,M,200m Military Rifle,Nikolaos Trikoupis,BRONZE,Athens,Greece,Greece,GRC,
119,1896,Shooting,M,300m Free Rifle 3 Positions,Georgios Orfanidis,GOLD,Athens,Greece,Greece,GRC,
120,1896,Shooting,M,300m Free Rifle 3 Positions,Ioannis Fragoudis,SILVER,Athens,Greece,Greece,GRC,
121,1896,Shooting,M,300m Free Rifle 3 Positions,Viggo Jensen,BRONZE,Athens,Greece,Denmark,DNK,
122,1896,Swimming,M,100m Freestyle,Alfréd Hajós,GOLD,Athens,Greece,Hungary,HUN,
123,1896,Swimming,M,100m Freestyle,Otto Herschmann,SILVER,Athens,Greece,Austria,AUT,
124,1896,Swimming,M,100m Freestyle for Sailors,Ioannis Malokinis,GOLD,Athens,Greece,Greece,GRC,
125,1896,Swimming,M,100m Freestyle for Sailors,Spyros Chasapis,SILVER,Athens,Greece,Greece,GRC,
126,1896,Swimming,M,100m Freestyle for Sailors,Dimitrios Drivas,BRONZE,Athens,Greece,Greece,GRC,
127,1896,Swimming,M,500m Freestyle ,Paul Neumann,GOLD,Athens,Greece,Austria,AUT,
128,1896,Swimming,M,500m Freestyle ,Antonios Pepanos,SILVER,Athens,Greece,Greece,GRC,
129,1896,Swimming,M,500m Freestyle ,Efstathios Chorafas,BRONZE,Athens,Greece,Greece,GRC,
130,1896,Swimming,M,1200m Freestyle ,Alfréd Hajós,GOLD,Athens,Greece,Hungary,HUN,
131,1896,Swimming,M,1200m Freestyle ,Ioannis Andreou,SILVER,Athens,Greece,Greece,GRC,
132,1896,Swimming,M,1200m Freestyle ,Efstathios Chorafas,BRONZE,Athens,Greece,Greece,GRC,
133,1896,Tennis,M,Singles,John Boland,GOLD,Athens,Greece,Great Britain,GBR,
134,1896,Tennis,M,Singles,Dionyssios Kasdaglis,SILVER,Athens,Greece,Greece,GRC,
135,1896,Tennis,M,Singles,Konstantinos Paspatis,BRONZE,Athens,Greece,Greece,GRC,
136,1896,Tennis,M,Singles,Momcsilló Topavicza,BRONZE,Athens,Greece,Hungary,HUN,
137,1896,Tennis,M,Doubles,John Boland,GOLD,Athens,Greece,Great Britain,GBR,
138,1896,Tennis,M,Doubles,Fritz Traun,GOLD,Athens,Greece,Germany,DEU,
139,1896,Tennis,M,Doubles,Dionyssios Kasdaglis,SILVER,Athens,Greece,Egypt,EGY,
140,1896,Tennis,M,Doubles,Dimitris Petrokokkinos,SILVER,Athens,Greece,Greece,GRC,
141,1896,Tennis,M,Doubles,George Robertson,BRONZE,Athens,Greece,Australia,AUS,
142,1896,Tennis,M,Doubles,Teddy Flack,BRONZE,Athens,Greece,Great Britain,GBR,
143,1896,Weightlifting,M,Heavyweight,Viggo Jensen,GOLD,Athens,Greece,Denmark,DNK,
144,1896,Weightlifting,M,Heavyweight,Launceston Elliot,SILVER,Athens,Greece,Great Britain,GBR,
145,1896,Weightlifting,M,Heavyweight,Sotiris Versis,BRONZE,Athens,Greece,Greece,GRC,
146,1896,Weightlifting,M,Heavyweight(one hand),Launceston Elliot,GOLD,Athens,Greece,Great Britain,GBR,
147,1896,Weightlifting,M,Heavyweight(one hand),Viggo Jensen,SILVER,Athens,Greece,Denmark,DNK,
148,1896,Weightlifting,M,Heavyweight(one hand),Alexandros Nikolopoulos,BRONZE,Athens,Greece,Greece,GRC,
149,1896,Wrestling,M,Greco-Roman Heavyweight,Carl Schuhmann,GOLD,Athens,Greece,Germany,DEU,
150,1896,Wrestling,M,Greco-Roman Heavyweight,Georgios Tsitas,SILVER,Athens,Greece,Greece,GRC,
151,1896,Wrestling,M,Greco-Roman Heavyweight,Stephanos Khristopoulos,BRONZE,Athens,Greece,Greece,GRC,
152,1900,Archery,M,Au chapelet 33m,Hubert van Innis,GOLD,Paris,France,Belgium,BEL,
153,1900,Archery,M,Au chapelet 33m,Victor Thibaud,SILVER,Paris,France,France,FRA,
154,1900,Archery,M,Au chapelet 33m,Charles-Frédéric Petit,BRONZE,Paris,France,France,FRA,
155,1900,Archery,M,Au chapelet 50m,Eugène Mougin,GOLD,Paris,France,France,FRA,
156,1900,Archery,M,Au chapelet 50m,Henri Helle,SILVER,Paris,France,France,FRA,
157,1900,Archery,M,Au chapelet 50m,Emile Mercier,BRONZE,Paris,France,France,FRA,
158,1900,Archery,M,Au cordon doré 33m,Hubert van Innis,GOLD,Paris,France,Belgium,BEL,
159,1900,Archery,M,Au cordon doré 33m,Victor Thibaud,SILVER,Paris,France,France,FRA,
160,1900,Archery,M,Au cordon doré 33m,Charles-Frédéric Petit,BRONZE,Paris,France,France,FRA,
161,1900,Archery,M,Au cordon doré 50m,Henri Herouin,GOLD,Paris,France,France,FRA,
162,1900,Archery,M,Au cordon doré 50m,Hubert van Innis,SILVER,Paris,France,Belgium,BEL,
163,1900,Archery,M,Au cordon doré 50m,Emile Fisseux,BRONZE,Paris,France,France,FRA,
164,1900,Archery,M,Championnat Du Monde,Henri Hérouin,GOLD,Paris,France,France,FRA,
165,1900,Archery,M,Championnat Du Monde,Hubert Van Innis,SILVER,Paris,France,Belgium,BEL,
166,1900,Archery,M,Sur la perche á la herse,Emmanuel Foulon,GOLD,Paris,France,Belgium,BEL,
167,1900,Archery,M,Sur la perche á la herse,Auguste Serrurier,SILVER,Paris,France,France,FRA,
168,1900,Archery,M,Sur la perche á la herse,Emile Druart,SILVER,Paris,France,Belgium,BEL,
169,1900,Archery,M,Sur la perche á la pyramide,Emile Grumiaux,GOLD,Paris,France,France,FRA,
170,1900,Archery,M,Sur la perche á la pyramide,Auguste Serrurier,SILVER,Paris,France,France,FRA,
171,1900,Archery,M,Sur la perche á la pyramide,Louis Glinaux,BRONZE,Paris,France,Belgium,BEL,
172,1900,Athletics,M,60m,Alvin Kraenzlein,GOLD,Paris,France,United States,USA,
173,1900,Athletics,M,60m,Walter Tewksbury,SILVER,Paris,France,United States,USA,
174,1900,Athletics,M,60m,Stan Rowley,BRONZE,Paris,France,Australia,AUS,
175,1900,Athletics,M,100m,Frank Jarvis,GOLD,Paris,France,United States,USA,
176,1900,Athletics,M,100m,Walter Tewksbury,SILVER,Paris,France,United States,USA,
177,1900,Athletics,M,100m,Stan Rowley,BRONZE,Paris,France,Australia,AUS,
178,1900,Athletics,M,200m,Walter Tewksbury,GOLD,Paris,France,United States,USA,
179,1900,Athletics,M,200m,Norman Pritchard,SILVER,Paris,France,British India,IND,
180,1900,Athletics,M,200m,Stan Rowley,BRONZE,Paris,France,Australia,AUS,
181,1900,Athletics,M,400m,Maxey Long,GOLD,Paris,France,United States,USA,
182,1900,Athletics,M,400m,William Holland,SILVER,Paris,France,United States,USA,
183,1900,Athletics,M,400m,Ernst Schultz,BRONZE,Paris,France,Denmark,DNK,
184,1900,Athletics,M,800m,Alfred Tysoe,GOLD,Paris,France,Great Britain,GBR,
185,1900,Athletics,M,800m,John Cregan,SILVER,Paris,France,United States,USA,
186,1900,Athletics,M,800m,Dave Hall,BRONZE,Paris,France,United States,USA,
187,1900,Athletics,M,1500m,Charles Bennett,GOLD,Paris,France,Great Britain,GBR,
188,1900,Athletics,M,1500m,Henri Deloge,SILVER,Paris,France,France,FRA,
189,1900,Athletics,M,1500m,John Bray,BRONZE,Paris,France,United States,USA,
190,1900,Athletics,M,2500m Steeplechase,George Orton,GOLD,Paris,France,Canada,CAN,
191,1900,Athletics,M,2500m Steeplechase,Sidney Robinson,SILVER,Paris,France,Great Britain,GBR,
192,1900,Athletics,M,2500m Steeplechase,Jacques Chastanié,BRONZE,Paris,France,France,FRA,
193,1900,Athletics,M,4000m Steeplechase,John Rimmer,GOLD,Paris,France,Great Britain,GBR,
194,1900,Athletics,M,4000m Steeplechase,Charles Bennett,SILVER,Paris,France,Great Britain,GBR,
195,1900,Athletics,M,4000m Steeplechase,Sidney Robinson,BRONZE,Paris,France,Great Britain,GBR,
196,1900,Athletics,M,Marathon,Michel Théato,GOLD,Paris,France,France,FRA,
197,1900,Athletics,M,Marathon,Emile Champion,SILVER,Paris,France,France,FRA,
198,1900,Athletics,M,Marathon,Ernst Fast,BRONZE,Paris,France,Sweden,SWE,
199,1900,Athletics,M,110m Hurdles,Alvin Kraenzlein,GOLD,Paris,France,United States,USA,
200,1900,Athletics,M,110m Hurdles,John McLean,SILVER,Paris,France,United States,USA,
201,1900,Athletics,M,110m Hurdles,Fred Moloney,BRONZE,Paris,France,United States,USA,
202,1900,Athletics,M,200m Hurdles,Alvin Kraenzlein,GOLD,Paris,France,United States,USA,
203,1900,Athletics,M,200m Hurdles,Norman Pritchard,SILVER,Paris,France,British India,IND,
204,1900,Athletics,M,200m Hurdles,Walter Tewksbury,BRONZE,Paris,France,United States,USA,
205,1900,Athletics,M,400m Hurdles,Walter Tewksbury,GOLD,Paris,France,United States,USA,
206,1900,Athletics,M,400m Hurdles,Henri Tauzin,SILVER,Paris,France,France,FRA,
207,1900,Athletics,M,400m Hurdles,George Orton,BRONZE,Paris,France,Canada,CAN,
208,1900,Athletics,M,5000m Team Race,Sidney Robinson,GOLD,Paris,France,Great Britain,GBR,
209,1900,Athletics,M,5000m Team Race,John Rimmer,GOLD,Paris,France,Great Britain,GBR,
210,1900,Athletics,M,5000m Team Race,Charles Bennett,GOLD,Paris,France,Great Britain,GBR,
211,1900,Athletics,M,5000m Team Race,Alfred Tysoe,GOLD,Paris,France,Great Britain,GBR,
212,1900,Athletics,M,5000m Team Race,Stan Rowley,GOLD,Paris,France,Australia,AUS,
213,1900,Athletics,M,5000m Team Race,Jacques Chastanié,SILVER,Paris,France,France,FRA,
214,1900,Athletics,M,5000m Team Race,André Castanet,SILVER,Paris,France,France,FRA,
215,1900,Athletics,M,5000m Team Race,Albert Champoudry,SILVER,Paris,France,France,FRA,
216,1900,Athletics,M,5000m Team Race,Henri Deloge,SILVER,Paris,France,France,FRA,
217,1900,Athletics,M,5000m Team Race,Gaston Ragueneau,SILVER,Paris,France,France,FRA,
218,1900,Athletics,M,High Jump,Irving Baxter,GOLD,Paris,France,United States,USA,
219,1900,Athletics,M,High Jump,Patrick Leahy,SILVER,Paris,France,Great Britain,GBR,
220,1900,Athletics,M,High Jump,Lajos Gönczy,BRONZE,Paris,France,Hungary,HUN,
221,1900,Athletics,M,Standing High Jump,Ray Ewry,GOLD,Paris,France,United States,USA,
222,1900,Athletics,M,Standing High Jump,Irving Baxter,SILVER,Paris,France,United States,USA,
223,1900,Athletics,M,Standing High Jump,Lewis Sheldon,BRONZE,Paris,France,United States,USA,
224,1900,Athletics,M,Long Jump,Alvin Kraenzlein,GOLD,Paris,France,United States,USA,
225,1900,Athletics,M,Long Jump,Meyer Prinstein,SILVER,Paris,France,United States,USA,
226,1900,Athletics,M,Long Jump,Patrick Leahy,BRONZE,Paris,France,Great Britain,GBR,
227,1900,Athletics,M,Standing Long Jump,Ray Ewry,GOLD,Paris,France,United States,USA,
228,1900,Athletics,M,Standing Long Jump,Irving Baxter,SILVER,Paris,France,United States,USA,
229,1900,Athletics,M,Standing Long Jump,Emile Torcheboeuf,BRONZE,Paris,France,France,FRA,
230,1900,Athletics,M,Pole Vault,Irving Baxter,GOLD,Paris,France,United States,USA,
231,1900,Athletics,M,Pole Vault,Meredith Colkett,SILVER,Paris,France,United States,USA,
232,1900,Athletics,M,Pole Vault,Flisa Andersen,BRONZE,Paris,France,Norway,NOR,
233,1900,Athletics,M,Triple Jump,Meyer Prinstein,GOLD,Paris,France,United States,USA,
234,1900,Athletics,M,Triple Jump,James Connolly,SILVER,Paris,France,United States,USA,
235,1900,Athletics,M,Triple Jump,Lewis Sheldon,BRONZE,Paris,France,United States,USA,
236,1900,Athletics,M,Standing Triple Jump,Ray Ewry,GOLD,Paris,France,United States,USA,
237,1900,Athletics,M,Standing Triple Jump,Irving Baxter,SILVER,Paris,France,United States,USA,
238,1900,Athletics,M,Standing Triple Jump,Bob Garrett,BRONZE,Paris,France,United States,USA,
239,1900,Athletics,M,Discus Throw,Rezsö Bauer,GOLD,Paris,France,Hungary,HUN,
240,1900,Athletics,M,Discus Throw,Frantisek Janda-Suk,SILVER,Paris,France,Bohemia,CZE,
241,1900,Athletics,M,Discus Throw,Richard Sheldon,BRONZE,Paris,France,United States,USA,
242,1900,Athletics,M,Hammer Throw,John Flanagan,GOLD,Paris,France,United States,USA,
243,1900,Athletics,M,Hammer Throw,Thomas Hare,SILVER,Paris,France,United States,USA,
244,1900,Athletics,M,Hammer Throw,Josiah McCracken,BRONZE,Paris,France,United States,USA,
245,1900,Athletics,M,Shot Put,Richard Sheldon,GOLD,Paris,France,United States,USA,
246,1900,Athletics,M,Shot Put,Josiah McCracken,SILVER,Paris,France,United States,USA,
247,1900,Athletics,M,Shot Put,Bob Garrett,BRONZE,Paris,France,United States,USA,
248,1900,Cricket,M,Cricket,John Symes,GOLD,Paris,France,Great Britain,GBR,
249,1900,Cricket,M,Cricket,Alfred Powlesland,GOLD,Paris,France,Great Britain,GBR,
250,1900,Cricket,M,Cricket,Arthur Birkett,GOLD,Paris,France,Great Britain,GBR,
251,1900,Cricket,M,Cricket,Charles Beachcroft,GOLD,Paris,France,Great Britain,GBR,
252,1900,Cricket,M,Cricket,Alfred Bowerman,GOLD,Paris,France,Great Britain,GBR,
253,1900,Cricket,M,Cricket,George Buckley,GOLD,Paris,France,Great Britain,GBR,
254,1900,Cricket,M,Cricket,Francis Burchell,GOLD,Paris,France,Great Britain,GBR,
255,1900,Cricket,M,Cricket,Fred Christian,GOLD,Paris,France,Great Britain,GBR,
256,1900,Cricket,M,Cricket,Harry Corner,GOLD,Paris,France,Great Britain,GBR,
257,1900,Cricket,M,Cricket,Frederick Cuming,GOLD,Paris,France,Great Britain,GBR,
258,1900,Cricket,M,Cricket,William Donne,GOLD,Paris,France,Great Britain,GBR,
259,1900,Cricket,M,Cricket,Montague Toller,GOLD,Paris,France,Great Britain,GBR,
260,1900,Cricket,M,Cricket,Philip H Tomalin,SILVER,Paris,France,France,FRA,
261,1900,Cricket,M,Cricket,Douglas Robinson,SILVER,Paris,France,France,FRA,
262,1900,Cricket,M,Cricket,F Roques,SILVER,Paris,France,France,FRA,
263,1900,Cricket,M,Cricket,A J Schneidau,SILVER,Paris,France,Great Britain,GBR,
264,1900,Cricket,M,Cricket,Henry Terry,SILVER,Paris,France,Great Britain,GBR,
265,1900,Cricket,M,Cricket,Arthur MacEvoy,SILVER,Paris,France,Great Britain,GBR,
266,1900,Cricket,M,Cricket,William T Attrill,SILVER,Paris,France,France,FRA,
267,1900,Cricket,M,Cricket,William Anderson,SILVER,Paris,France,Great Britain,GBR,
268,1900,Cricket,M,Cricket,J Braid,SILVER,Paris,France,Great Britain,GBR,
269,1900,Cricket,M,Cricket,W Browning,SILVER,Paris,France,Great Britain,GBR,
270,1900,Cricket,M,Cricket,Robert Horne,SILVER,Paris,France,Great Britain,GBR,
271,1900,Cricket,M,Cricket,Timothee H Jordan,SILVER,Paris,France,Great Britain,GBR,
272,1900,Croquet,M,Croquet Doubles,Georges Johin,GOLD,Paris,France,France,FRA,
273,1900,Croquet,M,Croquet Doubles,Gaston Aumoitte,GOLD,Paris,France,France,FRA,
274,1900,Croquet,M,Croquet Singles (1 Ball),Gaston Aumoitte,GOLD,Paris,France,France,FRA,
275,1900,Croquet,M,Croquet Singles (1 Ball),Georges Johin,SILVER,Paris,France,France,FRA,
276,1900,Croquet,M,Croquet Singles (1 Ball),Chrétien Waydelich,BRONZE,Paris,France,France,FRA,
277,1900,Croquet,M,Croquet Singles (2 Balls),Chrétien Waydelich,GOLD,Paris,France,France,FRA,
